obs,return_year,age_class,Sample_Size,CRITFC_prop_at_age,CRITFC_method,ONA_prop_at_age,ONA_method
1,1985,prop_age_1.1,175,0.069,Deadpitch on SG,NA,NA
2,1985,prop_age_1.2,175,0.88,Deadpitch on SG,NA,NA
3,1985,prop_age_1.3,175,0.006,Deadpitch on SG,NA,NA
4,1985,prop_age_2.1,175,0.011,Deadpitch on SG,NA,NA
5,1985,prop_age_2.2,175,0.034,Deadpitch on SG,NA,NA
6,1985,prop_age_2.3,175,0,Deadpitch on SG,NA,NA
7,1986,prop_age_1.1,0,NA,use multi-year average?,NA,NA
8,1986,prop_age_1.2,0,NA,use multi-year average?,NA,NA
9,1986,prop_age_1.3,0,NA,use multi-year average?,NA,NA
10,1986,prop_age_2.1,0,NA,use multi-year average?,NA,NA
11,1986,prop_age_2.2,0,NA,use multi-year average?,NA,NA
12,1986,prop_age_2.3,0,NA,use multi-year average?,NA,NA
13,1987,prop_age_1.1,508,0.492,SPA - Mixed Stock Adjusted?,NA,NA
14,1987,prop_age_1.2,508,0.46,SPA - Mixed Stock Adjusted?,NA,NA
15,1987,prop_age_1.3,508,0.028,SPA - Mixed Stock Adjusted?,NA,NA
16,1987,prop_age_2.1,508,0.01,SPA - Mixed Stock Adjusted?,NA,NA
17,1987,prop_age_2.2,508,0.01,SPA - Mixed Stock Adjusted?,NA,NA
18,1987,prop_age_2.3,508,0,SPA - Mixed Stock Adjusted?,NA,NA
19,1988,prop_age_1.1,195,0.00199,SPA - Mixed Stock Adjusted?,NA,NA
20,1988,prop_age_1.2,195,0.96853,SPA - Mixed Stock Adjusted?,NA,NA
21,1988,prop_age_1.3,195,0.01273,SPA - Mixed Stock Adjusted?,NA,NA
22,1988,prop_age_2.1,195,0.01037,SPA - Mixed Stock Adjusted?,NA,NA
23,1988,prop_age_2.2,195,0.00638,SPA - Mixed Stock Adjusted?,NA,NA
24,1988,prop_age_2.3,195,0,SPA - Mixed Stock Adjusted?,NA,NA
25,1989,prop_age_1.1,451,0.03019,SPA - Mixed Stock Adjusted?,NA,NA
26,1989,prop_age_1.2,451,0.9312,SPA - Mixed Stock Adjusted?,NA,NA
27,1989,prop_age_1.3,451,0.02738,SPA - Mixed Stock Adjusted?,NA,NA
28,1989,prop_age_2.1,451,0.00597,SPA - Mixed Stock Adjusted?,NA,NA
29,1989,prop_age_2.2,451,0.00526,SPA - Mixed Stock Adjusted?,NA,NA
30,1989,prop_age_2.3,451,0,SPA - Mixed Stock Adjusted?,NA,NA
31,1990,prop_age_1.1,406,0.452084521,SPA - Mixed Stock Adjusted?,NA,NA
32,1990,prop_age_1.2,406,0.261892619,SPA - Mixed Stock Adjusted?,NA,NA
33,1990,prop_age_1.3,406,0.226272263,SPA - Mixed Stock Adjusted?,NA,NA
34,1990,prop_age_2.1,406,0.018840188,SPA - Mixed Stock Adjusted?,NA,NA
35,1990,prop_age_2.2,406,0.035060351,SPA - Mixed Stock Adjusted?,NA,NA
36,1990,prop_age_2.3,406,0.005850059,SPA - Mixed Stock Adjusted?,NA,NA
37,1991,prop_age_1.1,473,0.154201542,SPA - Mixed Stock Adjusted?,NA,NA
38,1991,prop_age_1.2,473,0.759787598,SPA - Mixed Stock Adjusted?,NA,NA
39,1991,prop_age_1.3,473,0.014820148,SPA - Mixed Stock Adjusted?,NA,NA
40,1991,prop_age_2.1,473,0.066780668,SPA - Mixed Stock Adjusted?,NA,NA
41,1991,prop_age_2.2,473,0.001470015,SPA - Mixed Stock Adjusted?,NA,NA
42,1991,prop_age_2.3,473,0.002940029,SPA - Mixed Stock Adjusted?,NA,NA
43,1992,prop_age_1.1,688,0.168793248,SPA - Mixed Stock Adjusted?,NA,NA
44,1992,prop_age_1.2,688,0.733440662,SPA - Mixed Stock Adjusted?,NA,NA
45,1992,prop_age_1.3,688,0.013619455,SPA - Mixed Stock Adjusted?,NA,NA
46,1992,prop_age_2.1,688,0.069947202,SPA - Mixed Stock Adjusted?,NA,NA
47,1992,prop_age_2.2,688,0.014199432,SPA - Mixed Stock Adjusted?,NA,NA
48,1992,prop_age_2.3,688,0,SPA - Mixed Stock Adjusted?,NA,NA
49,1993,prop_age_1.1,523,0,SPA - Mixed Stock Adjusted?,NA,NA
50,1993,prop_age_1.2,523,0.88654,SPA - Mixed Stock Adjusted?,NA,NA
51,1993,prop_age_1.3,523,0.05258,SPA - Mixed Stock Adjusted?,NA,NA
52,1993,prop_age_2.1,523,0.00184,SPA - Mixed Stock Adjusted?,NA,NA
53,1993,prop_age_2.2,523,0.05665,SPA - Mixed Stock Adjusted?,NA,NA
54,1993,prop_age_2.3,523,0.00239,SPA - Mixed Stock Adjusted?,NA,NA
55,1994,prop_age_1.1,99,0.14294,SPA - Mixed Stock Adjusted?,NA,NA
56,1994,prop_age_1.2,99,0.12612,SPA - Mixed Stock Adjusted?,NA,NA
57,1994,prop_age_1.3,99,0.69848,SPA - Mixed Stock Adjusted?,NA,NA
58,1994,prop_age_2.1,99,0.01565,SPA - Mixed Stock Adjusted?,NA,NA
59,1994,prop_age_2.2,99,0.01681,SPA - Mixed Stock Adjusted?,NA,NA
60,1994,prop_age_2.3,99,0,SPA - Mixed Stock Adjusted?,NA,NA
61,1995,prop_age_1.1,138,0.413043478,SPA - Mixed Stock Adjusted?,NA,NA
62,1995,prop_age_1.2,138,0.514492754,SPA - Mixed Stock Adjusted?,NA,NA
63,1995,prop_age_1.3,138,0.014492754,SPA - Mixed Stock Adjusted?,NA,NA
64,1995,prop_age_2.1,138,0.057971014,SPA - Mixed Stock Adjusted?,NA,NA
65,1995,prop_age_2.2,138,0,SPA - Mixed Stock Adjusted?,NA,NA
66,1995,prop_age_2.3,138,0,SPA - Mixed Stock Adjusted?,NA,NA
67,1996,prop_age_1.1,291,0.075601375,SPA - Mixed Stock Adjusted?,NA,NA
68,1996,prop_age_1.2,291,0.859106529,SPA - Mixed Stock Adjusted?,NA,NA
69,1996,prop_age_1.3,291,0.037800687,SPA - Mixed Stock Adjusted?,NA,NA
70,1996,prop_age_2.1,291,0,SPA - Mixed Stock Adjusted?,NA,NA
71,1996,prop_age_2.2,291,0.027491409,SPA - Mixed Stock Adjusted?,NA,NA
72,1996,prop_age_2.3,291,0,SPA - Mixed Stock Adjusted?,NA,NA
73,1997,prop_age_1.1,116,0,SPA - Mixed Stock Adjusted?,NA,NA
74,1997,prop_age_1.2,116,0.956896552,SPA - Mixed Stock Adjusted?,NA,NA
75,1997,prop_age_1.3,116,0.034482759,SPA - Mixed Stock Adjusted?,NA,NA
76,1997,prop_age_2.1,116,0.00862069,SPA - Mixed Stock Adjusted?,NA,NA
77,1997,prop_age_2.2,116,0,SPA - Mixed Stock Adjusted?,NA,NA
78,1997,prop_age_2.3,116,0,SPA - Mixed Stock Adjusted?,NA,NA
79,1998,prop_age_1.1,296,0.052631579,SPA - Mixed Stock Adjusted?,NA,NA
80,1998,prop_age_1.2,296,0.789473684,SPA - Mixed Stock Adjusted?,NA,NA
81,1998,prop_age_1.3,296,0.157894737,SPA - Mixed Stock Adjusted?,NA,NA
82,1998,prop_age_2.1,296,0,SPA - Mixed Stock Adjusted?,NA,NA
83,1998,prop_age_2.2,296,0,SPA - Mixed Stock Adjusted?,NA,NA
84,1998,prop_age_2.3,296,0,SPA - Mixed Stock Adjusted?,NA,NA
85,1999,prop_age_1.1,NA,0.114,SPA - Mixed Stock Adjusted?,NA,NA
86,1999,prop_age_1.2,NA,0.849,SPA - Mixed Stock Adjusted?,NA,NA
87,1999,prop_age_1.3,NA,0,SPA - Mixed Stock Adjusted?,NA,NA
88,1999,prop_age_2.1,NA,0.037,SPA - Mixed Stock Adjusted?,NA,NA
89,1999,prop_age_2.2,NA,0,SPA - Mixed Stock Adjusted?,NA,NA
90,1999,prop_age_2.3,NA,0,SPA - Mixed Stock Adjusted?,NA,NA
91,2000,prop_age_1.1,502,0.13,SPA - Mixed Stock Adjusted?,NA,NA
92,2000,prop_age_1.2,502,0.84,SPA - Mixed Stock Adjusted?,NA,NA
93,2000,prop_age_1.3,502,0.01,SPA - Mixed Stock Adjusted?,NA,NA
94,2000,prop_age_2.1,502,0.01,SPA - Mixed Stock Adjusted?,NA,NA
95,2000,prop_age_2.2,502,0.01,SPA - Mixed Stock Adjusted?,NA,NA
96,2000,prop_age_2.3,502,0,SPA - Mixed Stock Adjusted?,NA,NA
97,2001,prop_age_1.1,816,0.026,SPA - Wells Dam - similar to ONA spawning grounds,0.043956044,Deadpitch
98,2001,prop_age_1.2,816,0.946,SPA - Wells Dam - similar to ONA spawning grounds,0.934065934,Deadpitch
99,2001,prop_age_1.3,816,0.022,SPA - Wells Dam - similar to ONA spawning grounds,0.021978022,Deadpitch
100,2001,prop_age_2.1,816,0.003,SPA - Wells Dam - similar to ONA spawning grounds,0,Deadpitch
101,2001,prop_age_2.2,816,0.003,SPA - Wells Dam - similar to ONA spawning grounds,0,Deadpitch
102,2001,prop_age_2.3,816,0,SPA - Wells Dam - similar to ONA spawning grounds,NA,NA
103,2002,prop_age_1.1,476,0.01080108,SPA - Mixed Stock Adjusted? - see CRITFC 2002 and 2003 Sockeye Data.xlsx [241111],0.112359551,Deadpitch
104,2002,prop_age_1.2,476,0.421842184,SPA - Mixed Stock Adjusted? - see CRITFC 2002 and 2003 Sockeye Data.xlsx [241111],0.539325843,Deadpitch
105,2002,prop_age_1.3,476,0.136913691,SPA - Mixed Stock Adjusted? - see CRITFC 2002 and 2003 Sockeye Data.xlsx [241111],0.348314607,Deadpitch
106,2002,prop_age_2.1,476,0.00270027,SPA - Mixed Stock Adjusted? - see CRITFC 2002 and 2003 Sockeye Data.xlsx [241111],0,Deadpitch
107,2002,prop_age_2.2,476,0.416841684,SPA - Mixed Stock Adjusted? - see CRITFC 2002 and 2003 Sockeye Data.xlsx [241111],0,Deadpitch
108,2002,prop_age_2.3,476,0.01090109,SPA - Mixed Stock Adjusted? - see CRITFC 2002 and 2003 Sockeye Data.xlsx [241111],NA,NA
109,2003,prop_age_1.1,301,0.3147,SPA - Mixed Stock Adjusted? - see CRITFC 2002 and 2003 Sockeye Data.xlsx [241111],0.055319149,Deadpitch
110,2003,prop_age_1.2,301,0.3884,SPA - Mixed Stock Adjusted? - see CRITFC 2002 and 2003 Sockeye Data.xlsx [241111],0.829787234,Deadpitch
111,2003,prop_age_1.3,301,0.1936,SPA - Mixed Stock Adjusted? - see CRITFC 2002 and 2003 Sockeye Data.xlsx [241111],0.114893617,Deadpitch
112,2003,prop_age_2.1,301,0.0764,SPA - Mixed Stock Adjusted? - see CRITFC 2002 and 2003 Sockeye Data.xlsx [241111],0,Deadpitch
113,2003,prop_age_2.2,301,0.0159,SPA - Mixed Stock Adjusted? - see CRITFC 2002 and 2003 Sockeye Data.xlsx [241111],0,Deadpitch
114,2003,prop_age_2.3,301,0.011,SPA - Mixed Stock Adjusted? - see CRITFC 2002 and 2003 Sockeye Data.xlsx [241111],NA,NA
115,2004,prop_age_1.1,626,0.031088083,SPA - Mixed Stock Adjusted?,0.028077754,Deadpitch
116,2004,prop_age_1.2,626,0.950777202,SPA - Mixed Stock Adjusted?,0.952483801,Deadpitch
117,2004,prop_age_1.3,626,0,SPA - Mixed Stock Adjusted?,0.017278618,Deadpitch
118,2004,prop_age_2.1,626,0.002590674,SPA - Mixed Stock Adjusted?,0,Deadpitch
119,2004,prop_age_2.2,626,0.015544041,SPA - Mixed Stock Adjusted?,0.002159827,Deadpitch
120,2004,prop_age_2.3,626,0,SPA - Mixed Stock Adjusted?,NA,NA
121,2005,prop_age_1.1,596,0.014920998,SPA - Mixed Stock Adjusted?,0.003649635,Deadpitch
122,2005,prop_age_1.2,596,0.890307375,SPA - Mixed Stock Adjusted?,0.96350365,Deadpitch
123,2005,prop_age_1.3,596,0.039020062,SPA - Mixed Stock Adjusted?,0.02919708,Deadpitch
124,2005,prop_age_2.1,596,0.022864404,SPA - Mixed Stock Adjusted?,0,Deadpitch
125,2005,prop_age_2.2,596,0.018893074,SPA - Mixed Stock Adjusted?,0.003649635,Deadpitch
126,2005,prop_age_2.3,596,0.013994086,SPA - Mixed Stock Adjusted?,NA,NA
127,2006,prop_age_1.1,NA,0.00708502,PIT/SPA,0.002570694,Deadpitch
128,2006,prop_age_1.2,NA,0.760121457,PIT/SPA,0.889460154,Deadpitch
129,2006,prop_age_1.3,NA,0.07388664,PIT/SPA,0.102827763,Deadpitch
